Wavelength (nm),Glass_n,Glass_k,ITO_n,ITO_k,PEDOT:PSS_n,PEDOT:PSS_k,PM6L8BO_n,PM6L8BO_k,PDINN_n,PDINN_k,Air_n,Air_k
325,1.51921,0,2.17728,0.04671,1.568516471,5.90E-04,1.646474676,0.243214074,1.674749985,0.066846414,1,0
326,1.51913,0,2.17309,0.04429,1.568092941,6.07E-04,1.645917718,0.243721001,1.674921085,0.067406441,1,0
327,1.51905,0,2.16895,0.042,1.567669412,6.24E-04,1.64535224,0.244239058,1.675130668,0.067991946,1,0
328,1.51897,0,2.16484,0.03978,1.567248387,6.41E-04,1.644783544,0.244761321,1.675354791,0.068587078,1,0
329,1.5189,0,2.16081,0.0377,1.566829032,6.58E-04,1.644214847,0.245283584,1.675578913,0.069182209,1,0
330,1.51883,0,2.15683,0.03571,1.566409677,6.75E-04,1.643646151,0.245805847,1.675803036,0.06977734,1,0
331,1.51875,0,2.1529,0.03379,1.565990323,6.92E-04,1.643072654,0.246334378,1.676051921,0.070385836,1,0
332,1.51868,0,2.14902,0.03202,1.565570968,7.09E-04,1.642491173,0.246873334,1.67634199,0.071016557,1,0
333,1.51861,0,2.14517,0.0303,1.565151613,7.26E-04,1.641909691,0.247412289,1.676632059,0.071647279,1,0
334,1.51854,0,2.14135,0.02868,1.564732258,7.43E-04,1.64132821,0.247951245,1.676922128,0.072278,1,0
335,1.51846,0,2.13762,0.02714,1.564312903,7.60E-04,1.640746729,0.2484902,1.677212198,0.072908721,1,0
336,1.51839,0,2.13392,0.02566,1.563893548,7.77E-04,1.640153221,0.249045573,1.677576906,0.07357005,1,0
337,1.51832,0,2.13029,0.02428,1.563491489,7.94E-04,1.639558489,0.249602618,1.677949212,0.074234494,1,0
338,1.51825,0,2.1267,0.02296,1.563129787,8.11E-04,1.638963756,0.250159662,1.678321519,0.074898939,1,0
339,1.51817,0,2.12314,0.0217,1.562768085,8.27E-04,1.638369024,0.250716706,1.678693826,0.075563384,1,0
340,1.5181,0,2.11968,0.02053,1.562406383,8.44E-04,1.637769774,0.251279936,1.679098788,0.076236927,1,0
341,1.51804,0,2.11625,0.0194,1.562044681,8.61E-04,1.637160803,0.251856476,1.679574009,0.076930047,1,0
342,1.51798,0,2.11288,0.01834,1.561682979,8.78E-04,1.636551833,0.252433016,1.680049231,0.077623166,1,0
343,1.51792,0,2.1096,0.01735,1.561321277,8.96E-04,1.635942863,0.253009556,1.680524452,0.078316286,1,0
344,1.51786,0,2.10636,0.01639,1.560959574,9.14E-04,1.635333893,0.253586096,1.680999674,0.079009406,1,0
345,1.5178,0,2.10315,0.01549,1.560597872,9.33E-04,1.634715892,0.254175165,1.681551131,0.07971314,1,0
346,1.51774,0,2.09999,0.01464,1.56023617,9.51E-04,1.634091858,0.254772605,1.682153518,0.080423965,1,0
